产品名称,类型,order,交易服务费,售价,实际结算,现金账户进项,系统服务费,营销推广费
8月闪购 | 周五至周日单人自助晚餐,退款,-4.0,-19.44,1944.0,-1885.68,-1944.0,-38.88,0.0
周三周四单人自助晚餐,正常,20.0,80.40000000000003,8080.0,7688.8,8040.0,160.80000000000007,110.0
周末单人自助晚餐,正常,42.0,225.9599999999999,22596.0,21538.120000000014,22596.0,451.9199999999998,380.0
燕窝主题下午茶,正常,7.0,26.88,2688.0,2558.36,2688.0,53.76,49.0
赤白 • 创意手作月饼礼盒,正常,1.0,3.68,388.0,329.96,368.0,7.36,27.0
酒水小食双人套餐,正常,1.0,1.88,188.0,182.36,188.0,3.76,0.0
Total,,67.0,319.35999999999996,35884.0,30411.920000000013,31936.0,638.7199999999999,566.0
